"review_id","effect_size_id","within_effect_id","study_author","study_year","study_first_page_number","study_n","estimate","metric","lower_ci","upper_ci","standard_error","standard_deviation","variance","p_value","n_intervention","n_control","number_of_events_in_exposure_for_or_rr","number_of_events_in_comparison_for_or_rr","reverse_code","study_name","converted_metric","r_ci_lower","r_ci_upper","r_estimate","z_estimate","z_ci_lower","z_ci_upper","tar_group"
47569,"47569_001","47569_001_011","Regondola","2017","216",728,0.26,"Cohen's d",-0.83,1.35,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Regondola 2017","d",-0.383303343049295,0.559472855001063,0.128915230254621,0.12963659033633,-0.403926191741735,0.632065531523204,48
47569,"47569_001","47569_001_012","Regondola","2017","216",728,0.45,"Cohen's d",-0.75,1.65,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Regondola 2017","d",-0.351123441588392,0.636382954795564,0.219512195121951,0.22314355131421,-0.366724604230137,0.752071164757003,48
47569,"47569_001","47569_001_013","Regondola","2017","216",728,0.16,"Cohen's d",-0.93,1.25,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Regondola 2017","d",-0.421644063169986,0.52999894000318,0.07974522228289,0.0799149114944968,-0.449689892515991,0.590143685781959,48
47569,"47569_001","47569_001_014","Regondola","2017","216",728,-0.63,"Cohen's d",-1.79,0.53,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Regondola 2017","d",-0.666903757991618,0.256158238487723,-0.300446573394861,-0.310010416495237,-0.805145842081007,0.261992499538448,48
47569,"47569_001","47569_001_015","Regondola","2017","216",728,0.06,"Cohen's d",-1.07,0.95,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Regondola 2017","d",-0.471731968564972,0.429056814568288,0.029986509105671,0.0299955018215243,-0.512295702969836,0.458740115411948,48
47569,"47569_001","47569_001_016","Regondola","2017","216",728,0.28,"Cohen's d",-0.85,1.42,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Regondola 2017","d",-0.391140640344852,0.578921919080397,0.138647844534406,0.139546653905865,-0.413145994832217,0.660839640789586,48
47569,"47569_001","47569_001_017","Syväoja","2013","2098",277,-0.57,"Cohen's d",-0.81,-0.33,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Syväoja 2013","d",-0.375382367719639,-0.162798782993202,-0.274085979637935,-0.28127637161931,-0.394673691445097,-0.164260338916376,48
47569,"47569_001","47569_001_018","Syväoja","2018","135",970,-0.13,"Cohen's d",-0.25,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Syväoja 2018","d",-0.124034734589208,0,-0.0648631210826801,-0.0649543159702414,-0.124676746921443,0,48
47569,"47569_002","47569_002_001","Adelanto-Renau","2019","410",269,-0.1,"Cohen's d",-0.33,0.13,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Adelanto-Renau 2019","d",-0.162798782993202,0.0648631210826801,-0.0499376169438922,-0.0499791900693487,-0.164260338916376,0.0649543159702414,49
47569,"47569_002","47569_002_002","Caldas","1999","39",3452,0.05,"Cohen's d",0.01,0.06,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Caldas 1999","d",0.00499993750117185,0.029986509105671,0.0249921911602031,0.0249973965654828,0.00499997916690104,0.0299955018215243,49
